Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,Ryzen 5 2600H,392,64.7,151,https://cpu.userbenchmark.com/SpeedTest/617618/AMD-Ryzen-5-2600H-with-Radeon-Vega-Graphics
CPU,BX80601920,Intel,Core i7-920,393,64.6,58888,https://cpu.userbenchmark.com/Intel-Core-i7-920/Rating/1981
CPU,BX80605I5750,Intel,Core i5-750,394,64.4,32619,https://cpu.userbenchmark.com/Intel-Core-i5-750/Rating/2773
CPU,,Intel,Core i5-2405S,395,64.4,145,https://cpu.userbenchmark.com/SpeedTest/10048/IntelR-CoreTM-i5-2405S-CPU---250GHz
CPU,FJ8068404064604,Intel,Core i5-8265U,396,64.3,48528,https://cpu.userbenchmark.com/SpeedTest/566107/IntelR-CoreTM-i5-8265U-CPU---160GHz
CPU,,Intel,Core i7-4770HQ,397,64.3,1259,https://cpu.userbenchmark.com/SpeedTest/18784/IntelR-CoreTM-i7-4770HQ-CPU---220GHz
CPU,,Intel,Core i7-7567U,398,64.2,1574,https://cpu.userbenchmark.com/SpeedTest/219709/IntelR-CoreTM-i7-7567U-CPU---350GHz
CPU,,Intel,Core i5-6300HQ,399,64.2,42438,https://cpu.userbenchmark.com/SpeedTest/38166/IntelR-CoreTM-i5-6300HQ-CPU---230GHz
CPU,,AMD,Ryzen 9 4900U,400,64.1,1,https://cpu.userbenchmark.com/SpeedTest/1097507/AMD-Ryzen-9-4900U-with-Radeon-Graphics
CPU,,Intel,Core i7-4702MQ,401,64.1,17452,https://cpu.userbenchmark.com/SpeedTest/2674/IntelR-CoreTM-i7-4702MQ-CPU---220GHz
CPU,,Intel,Core i5-8350U,402,64,11526,https://cpu.userbenchmark.com/SpeedTest/388461/IntelR-CoreTM-i5-8350U-CPU---170GHz
CPU,CM8068403360212,Intel,Pentium G5400T,403,64,101,https://cpu.userbenchmark.com/SpeedTest/528812/IntelR-PentiumR-Gold-G5400T-CPU---310GHz
CPU,,Intel,Core i5-8365U,404,64,3175,https://cpu.userbenchmark.com/SpeedTest/774761/IntelR-CoreTM-i5-8365U-CPU---160GHz
CPU,FJ8068404064405,Intel,Core i7-8565U,405,63.9,53747,https://cpu.userbenchmark.com/SpeedTest/591977/IntelR-CoreTM-i7-8565U-CPU---180GHz
