Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80637I53450S,Intel,Core i5-3450S,304,69.5,1150,https://cpu.userbenchmark.com/SpeedTest/2071/IntelR-CoreTM-i5-3450S-CPU---280GHz
CPU,BX80662I36320,Intel,Core i3-6320,305,69.5,1362,https://cpu.userbenchmark.com/Intel-Core-i3-6320/Rating/3535
CPU,,Intel,Core i5-3350P,306,69.3,15628,https://cpu.userbenchmark.com/SpeedTest/3018/IntelR-CoreTM-i5-3350P-CPU---310GHz
CPU,,Intel,Core i7-7700HQ,307,69.3,378041,https://cpu.userbenchmark.com/SpeedTest/211019/IntelR-CoreTM-i7-7700HQ-CPU---280GHz
CPU,BX80623I52400,Intel,Core i5-2400,308,69.1,115310,https://cpu.userbenchmark.com/Intel-Core-i5-2400/Rating/803
CPU,,Intel,Core i3-7101E,309,69.1,10,https://cpu.userbenchmark.com/SpeedTest/325269/IntelR-CoreTM-i3-7101E-CPU---390GHz
CPU,,Intel,Xeon X5570,310,69.1,1060,https://cpu.userbenchmark.com/SpeedTest/12230/IntelR-XeonR-CPU-----------X5570----293GHz
CPU,YD150XBBAEBOX,AMD,Ryzen 5 1500X,311,69.1,46767,https://cpu.userbenchmark.com/AMD-Ryzen-5-1500X/Rating/3921
CPU,,Intel,Core i7-3920XM,312,69.1,588,https://cpu.userbenchmark.com/SpeedTest/5061/IntelR-CoreTM-i7-3920XM-CPU---290GHz
CPU,,Intel,Core i5-4430,313,69,17092,https://cpu.userbenchmark.com/SpeedTest/1920/IntelR-CoreTM-i5-4430-CPU---300GHz
CPU,,Intel,Core i7-7820HQ,314,68.9,9193,https://cpu.userbenchmark.com/SpeedTest/185229/IntelR-CoreTM-i7-7820HQ-CPU---290GHz
CPU,,Intel,Core i5-3340,315,68.9,5888,https://cpu.userbenchmark.com/SpeedTest/2710/IntelR-CoreTM-i5-3340-CPU---310GHz
CPU,YD2200C5FBBOX,AMD,Ryzen 3 2200G,316,68.8,122005,https://cpu.userbenchmark.com/SpeedTest/441832/AMD-Ryzen-3-2200G-with-Radeon-Vega-Graphics
